Token		Lexeme
-----------------------------
Keyword		integer
Identifier		x
Identifier		y
Identifier		z
Keyword		real
Identifier		rate
Identifier		interestRate1
Identifier		avg1
Keyword		boolean
Identifier		flag
Identifier		isTrue
Identifier		isFalse
Keyword		function
Identifier		main
Separator		{
Keyword		integer
Identifier		integerVar
Identifier		realVar
Identifier		booleanVar
Keyword		read
Identifier		x
Keyword		read
Identifier		interestRate1
Keyword		write
Identifier		x
Keyword		write
Identifier		interestRate1
Keyword		return
Separator		}
Identifier		xVar
Identifier		y1
Identifier		y2
Identifier		y3
Identifier		temp
Identifier		temp2
Identifier		temp3
Keyword		if
Keyword		otherwise
Keyword		fi
Keyword		while
Keyword		read
Keyword		write
Keyword		function
Keyword		boolean
Keyword		real
Keyword		integer
Keyword		true
Keyword		false
Identifier		andrew
Identifier		andrew1
Identifier		csuf
Identifier		csuf323
Identifier		rat26s
Identifier		ratLexer
