Token		Lexeme
-----------------------------
Keyword		integer
Identifier		counter
Separator		,
Identifier		limit123
Separator		,
Identifier		integerinteger
Separator		;
Keyword		real
Identifier		avg_value
Separator		,
Identifier		real2
Separator		,
Identifier		pi_approx
Separator		;
Keyword		boolean
Identifier		flag
Separator		,
Identifier		done
Separator		,
Identifier		isTrue
Separator		,
Identifier		isFalse
Separator		;
Keyword		function
Identifier		main
Separator		(
Separator		)
Separator		{
Keyword		integer
Identifier		i
Separator		,
Identifier		j
Separator		,
Identifier		k
Separator		;
Keyword		real
Identifier		sum
Separator		,
Identifier		tempReal
Separator		,
Identifier		x1
Separator		,
Identifier		x2
Separator		;
Keyword		boolean
Identifier		result
Separator		,
Identifier		cond
Separator		;
Identifier		counter
Operator		=
Integer		0
Separator		;
Identifier		limit123
Operator		=
Integer		100
Separator		;
Identifier		integerinteger
Operator		=
Integer		5
Separator		;
Identifier		sum
Operator		=
Real		0.0
Separator		;
Identifier		avg_value
Operator		=
Real		0.000
Separator		;
Identifier		real2
Operator		=
Real		3.14159
Separator		;
Identifier		pi_approx
Operator		=
Real		3.14
Separator		;
Identifier		flag
Operator		=
Keyword		false
Separator		;
Identifier		done
Operator		=
Keyword		false
Separator		;
Identifier		isTrue
Operator		=
Keyword		true
Separator		;
Identifier		isFalse
Operator		=
Keyword		false
Separator		;
Keyword		read
Identifier		counter
Separator		;
Keyword		read
Identifier		limit123
Separator		;
Keyword		while
Separator		(
Identifier		counter
Operator		<
Identifier		limit123
Separator		)
Separator		{
Keyword		write
Identifier		counter
Separator		;
Operator		/
Operator		/
Identifier		This
Identifier		line
Identifier		intentionally
Identifier		has
Identifier		bad
Identifier		characters
Identifier		for
Identifier		the
Identifier		lexer
Unknown		:
Operator		/
Operator		/
Identifier		They
Identifier		should
Identifier		be
Identifier		returned
Identifier		as
Identifier		Unknown
Identifier		tokens
Unknown		.
Identifier		counter
Operator		=
Identifier		counter
Operator		+
Integer		1
Unknown		#
Unknown		$
Separator		;
Identifier		i
Operator		=
Integer		0
Separator		;
Keyword		while
Separator		(
Identifier		i
Operator		<=
Integer		3
Separator		)
Separator		{
Identifier		tempReal
Operator		=
Real		1.0
Separator		;
Identifier		x1
Operator		=
Identifier		tempReal
Operator		+
Integer		2
Separator		;
Identifier		x2
Operator		=
Identifier		x1
Operator		+
Real		3.000
Separator		;
Identifier		sum
Operator		=
Identifier		sum
Operator		+
Identifier		x2
Separator		;
Identifier		i
Operator		=
Identifier		i
Operator		+
Integer		1
Separator		;
Separator		}
Keyword		if
Separator		(
Identifier		sum
Operator		==
Real		0.0
Separator		)
Identifier		result
Operator		=
Keyword		false
Separator		;
Keyword		otherwise
Identifier		result
Operator		=
Keyword		true
Separator		;
Keyword		fi
Keyword		if
Separator		(
Identifier		result
Operator		==
Keyword		true
Separator		)
Separator		{
Keyword		write
Identifier		sum
Separator		;
Separator		}
Keyword		otherwise
Keyword		write
Identifier		avg_value
Separator		;
Keyword		fi
Keyword		if
Separator		(
Identifier		counter
Operator		!=
Identifier		limit123
Separator		)
Keyword		write
Identifier		counter
Separator		;
Keyword		otherwise
Keyword		write
Identifier		limit123
Separator		;
Keyword		fi
Identifier		avg_value
Operator		=
Identifier		sum
Operator		/
Separator		(
Identifier		counter
Operator		+
Integer		1
Separator		)
Separator		;
Identifier		j
Operator		=
Identifier		counter
Operator		+
Identifier		integerinteger
Operator		-
Identifier		real2
Separator		;
Identifier		k
Operator		=
Separator		(
Identifier		j
Operator		+
Integer		10
Separator		)
Operator		/
Integer		2
Separator		;
Identifier		cond
Operator		=
Keyword		true
Separator		;
Keyword		if
Separator		(
Identifier		cond
Operator		==
Keyword		false
Separator		)
Identifier		flag
Operator		=
Keyword		true
Separator		;
Keyword		otherwise
Identifier		flag
Operator		=
Keyword		false
Separator		;
Keyword		fi
Separator		@
Identifier		result
Operator		=
Keyword		true
Separator		;
Keyword		write
Identifier		result
Separator		;
Identifier		superLongIdentifierName12345
Operator		=
Real		23.0001
Separator		;
Identifier		counter
Operator		=
Identifier		counter
Operator		+
Integer		1
Separator		;
Separator		}
Keyword		while
Separator		(
Identifier		counter
Operator		=>
Identifier		limit123
Separator		)
Separator		{
Keyword		write
Identifier		counter
Separator		;
Identifier		counter
Operator		=
Identifier		counter
Operator		-
Integer		1
Separator		;
Separator		}
Keyword		if
Separator		(
Identifier		done
Operator		==
Keyword		false
Separator		)
Identifier		done
Operator		=
Keyword		true
Separator		;
Keyword		otherwise
Identifier		done
Operator		=
Keyword		false
Separator		;
Keyword		fi
Keyword		write
Identifier		done
Separator		;
Keyword		return
Separator		;
Separator		}
Keyword		integer
Identifier		x
Separator		,
Identifier		y
Separator		,
Identifier		z
Separator		;
Identifier		x
Operator		=
Integer		10
Separator		;
Identifier		y
Operator		=
Integer		20
Separator		;
Identifier		z
Operator		=
Integer		30
Separator		;
Keyword		if
Separator		(
Identifier		x
Operator		<
Identifier		y
Separator		)
Identifier		z
Operator		=
Integer		100
Separator		;
Keyword		otherwise
Identifier		z
Operator		=
Integer		200
Separator		;
Keyword		fi
